"","NAME","ADDRESS","CITY","COUNTY","FIPS","X","Y"
"466","TRANSIT HILL PHARMACY","6344 TRANSIT ROAD","DEPEW","ERIE",36029,-78.6974559,42.9281564
"467","RITE AID - 761","2887 HARLEM ROAD","CHEEKTOWAGA","ERIE",36029,-78.7837947,42.9217568
"468","CVS - 575","259 WEST MAIN STREET","BATAVIA","GENESEE",36037,-78.1959859,43.0011574
"469","RITE AID - 1194","1941 SENECA STREET","BUFFALO","ERIE",36029,-78.8134679,42.857841
"470","WALGREENS - 11334","9050 ERIE ROAD","ANGOLA","ERIE",36029,-79.0482663,42.6389476
"471","TOPS","5274 MAIN STREET AND UNION ROAD","WILLIAMSVILLE","ERIE",36029,-78.7578437,42.9626063
"472","TOPS","710 LAKE AVENUE","ROCHESTER","MONROE",36055,-77.6306978,43.178355
"473","TOPS","450 WEST AVENUE","ROCHESTER","MONROE",36055,-77.6511985,43.1510387
"474","TOPS","1601 PENFIELD ROAD","ROCHESTER","MONROE",36055,-77.4972361,43.1332473
"475","CVS - 2217","878 LONG POND ROAD","GREECE","MONROE",36055,-77.6959048,43.238923
"476","RITE AID - 499","424 ELMWOOD AVENUE","BUFFALO","ERIE",36029,-78.8777899,42.9087062
"477","WALGREENS - 5714","578 DICK ROAD","DEPEW","ERIE",36029,-78.7383174,42.9183145
"478","WALGREENS - 3857","3488 MAIN STREET","BUFFALO","ERIE",36029,-78.8196301,42.9577068
"479","WAL-MART - 2210","2055 NIAGARA FALLS BOULEVARD","AMHERST","ERIE",36029,-78.8187434,43.0085413
"480","WALGREENS - 10442","2739 DELAWARE AVENUE","KENMORE","ERIE",36029,-78.868907,42.9589633
"481","RITE AID - 10824","801 TONAWANDA STREET","BUFFALO","ERIE",36029,-78.9038889,42.9504495
"482","RITE AID - 10837","3249 SHERIDAN DRIVE","AMHERST","ERIE",36029,-78.813282,42.9796607
"483","RITE AID - 1910","2025 SHERIDAN DRIVE","BUFFALO","ERIE",36029,-78.8591372,42.9803634
"484","RITE AID - 1689","3071-3085 SOUTH PARK AVENUE","LACKAWANNA","ERIE",36029,-78.8244854,42.8162908
"485","TOPS","12775 BROADWAY STREET","ALDEN","ERIE",36029,-78.5101089,42.8938573
"486","TOPS","3500 MAIN STREET","AMHERST","ERIE",36029,-78.8171946,42.9600874
"487","DOBBINS DRUGS INC","52 WILLIAM ST","LYONS","WAYNE",36117,-76.9918187,43.0637061
"488","NEWARK VILLAGE PHARMACY INC","105 W MILLER ST","NEWARK","WAYNE",36117,-77.0957022,43.0460248
"489","GALENS, INC","17 SODUS ST","CLYDE","WAYNE",36117,-76.8719387,43.0824502
"490","ROSENKRANS PHARMACY","526 MAIN ST","MEDINA","ORLEANS",36073,-78.3873208,43.219895
"491","S R AHMAD, INC","12 W MAIN ST","WATERLOO","SENECA",36099,-76.8635582,42.9049266
"492","WILLIAMSON PHARMACY LLC","4102 PEARSALL ST","WILLIAMSON","WAYNE",36117,-77.1855499,43.2323261
"493","HENDERSON'S DRUG STORE, INC","1923 LAKE AVE","LIMA","LIVINGSTON",36051,-77.611312,42.9040701
"494","NUNDA FAMILY PHARMACY LLC","12 N STATE ST","NUNDA","LIVINGSTON",36051,-77.9429323,42.5800893
"495","TOPS MARKETS, LLC","6272 FURNACE RD","ONTARIO","WAYNE",36117,-77.2821833,43.2260709
"496","PROVISIONS PLUS INC","11 SOUTH MAIN ST","LYNDONVILLE","ORLEANS",36073,-78.3883671,43.3207307
"497","PAUL R GROUT","142 E CENTER ST","MEDINA","ORLEANS",36073,-78.3858826,43.2201218
"498","LIVONIA LAKEVILLE PHARMACY INC","5995 BIG TREE RD","LAKEVILLE","LIVINGSTON",36051,-77.6944849,42.8323181
"499","WAYNE HEALTH CARE","1200 DRIVING PARK AVE","NEWARK","WAYNE",36117,-77.1003399,43.0602536
"500","HENDERSON'S DRUG STORE, INC","95 FALL ST","SENECA FALLS","SENECA",36099,-76.7982593,42.910151
"501","MARION PHARMACY, INC","3803 SOUTH MAIN ST","MARION","WAYNE",36117,-77.1897821,43.1428276
"502","MILEX DRUG","3130 MAIN ST","CALEDONIA","LIVINGSTON",36051,-77.8544166,42.9728417
"503","TOPS MARKETS, LLC","408 WEST AVE","ALBION","ORLEANS",36073,-78.2051271,43.2404994
"504","TOPS MARKETS, LLC","11200 MAPLE RIDGE RD","MEDINA","ORLEANS",36073,-78.3979678,43.2066203
"505","CVS ALBANY LLC","277 E MAIN ST","AVON","LIVINGSTON",36051,-77.7325983,42.909723
"506","WALGREENS - 11377","6707 PITTSFORD PALMYRA ROAD","FAIRPORT","MONROE",36055,-77.443065,43.0690945
"507","RITE AID - 10804","BUELL STREET AND MAIN ROAD","AKRON","ERIE",36029,-78.5033035,42.9974659
"508","MENDON PHARMACY","51 ASSEMBLY DRIVE","MENDON","MONROE",36055,-77.5086557,43.000448
"509","STRONG MEMORIAL HOSPITAL OUTPATIENT PHARMACY","601 ELMWOOD AVENUE","ROCHESTER","MONROE",36055,-77.6241316,43.1227082
"510","CVS - 2067","2580 EAST HENRIETTA ROAD","ROCHESTER","MONROE",36055,-77.6068163,43.0692352
"511","CVS - 2501","2709 CHILI AVENUE","ROCHESTER","MONROE",36055,-77.7091057,43.1223277
"512","WAB PHARMACY","4414 CULVER ROAD","ROCHESTER","MONROE",36055,-77.5455634,43.2291317
"513","RITE AID - 10862","101 PATTONWOOD DRIVE","ROCHESTER","MONROE",36055,-77.6072316,43.2475453
"514","RITE AID - 10863","3349 MONROE AVENUE","ROCHESTER","MONROE",36055,-77.5401777,43.1009217
"515","CVS - 739","1455 LAKE AVENUE","ROCHESTER","MONROE",36055,-77.6298443,43.1929321
"516","THE MEDICINE SHOPPE PHARMACY","545 TITUS AVENUE","ROCHESTER","MONROE",36055,-77.601813,43.2098109
"517","WALGREENS - 9872","1125 RIDGE ROAD","WEBSTER","MONROE",36055,-77.4458475,43.2096931
"518","SAINT JOHN'S HOME","150 HIGHLAND AVENUE","ROCHESTER","MONROE",36055,-77.6094348,43.1307898
"519","TARGET","1050 RIDGE ROAD","WEBSTER","MONROE",36055,-77.4507372,43.2109613
"520","INKLEY PHARMACY AND GIFTS","113 MAIN STREET","RANDOLPH","CATTARAUGUS",36009,-78.9757184,42.1615366
"521","WAL-MART SUPERCENTER - 1619","1200 MARKETPLACE DRIVE","ROCHESTER","MONROE",36055,-77.6227262,43.0806418
"522","COTTRILL'S PHARMACY","255 MAIN STREET","ARCADE","WYOMING",36121,-78.423059,42.5344074
"523","RITE AID - 10819","343 MEADOW DRIVE","NORTH TONAWANDA","NIAGARA",36063,-78.8736037,43.0514819
"524","TOPS","830 COUNTY ROAD 64","ELMIRA","CHEMUNG",36015,-76.8824708,42.1531327
"525","RITE AID - 10877","100 CONHOCTON STREET","CORNING","STEUBEN",36101,-77.0397998,42.1402453
"526","IRA DAVENPORT MEMORIAL HOSPITAL","7571 STATE ROUTE 54","BATH","STEUBEN",36101,-77.2788524,42.3744149
"527","LAKESIDE MEMORIAL HOSPITAL","156 WEST AVENUE","BROCKPORT","MONROE",36055,-77.9445568,43.2207566
"528","PATIENTS PHARMACY","1376 EAST 2ND STREET","JAMESTOWN","CHAUTAUQUA",36013,-79.2101249,42.1129811
"529","RITE AID - 10818","1381 NASH ROAD","NORTH TONAWANDA","NIAGARA",36063,-78.8646183,43.0605966
"530","TOPS","1800 LAKE ROAD","HAMLIN","MONROE",36055,-77.9186569,43.2925447
"531","RITE AID - 1148","1717 PINE AVENUE","NIAGARA FALLS","NIAGARA",36063,-79.0404764,43.094619
"532","WALGREENS - 10511","2665 EAST HENRIETTA ROAD","HENRIETTA","MONROE",36055,-77.6091987,43.0679538
"533","FAIRPORT PHARMACY","122 FAIRPORT VILLAGE LANDING","FAIRPORT","MONROE",36055,-77.4423096,43.1011197
"534","RITE AID - 10852","635 PITTSFORD VICTOR ROAD","PITTSFORD","MONROE",36055,-77.4784149,43.0613189
"535","WALGREENS - 9758","2100 EAST RIDGE ROAD","IRONDEQUOIT","MONROE",36055,-77.5612102,43.2041322
"536","CVS - 539","415 NORTH UNION STREET","OLEAN","CATTARAUGUS",36009,-78.4302986,42.0833408
"537","WEGMANS","6600 PITTSFORD PALMYRA ROAD","FAIRPORT","MONROE",36055,-77.445876,43.0713748
"538","RITE AID - 10859","1792 NORTH GOODMAN STREET","ROCHESTER","MONROE",36055,-77.5757903,43.188222
"539","TOPS","3507 MOUNT READ BOULEVARD","ROCHESTER","MONROE",36055,-77.6620394,43.222809
"540","TOPS","175 WINTON ROAD NORTH","ROCHESTER","MONROE",36055,-77.5546362,43.1478585
"541","LIFETIME HEALTH MEDICAL GROUP - GREECE HEALTH CENTER","470 LONG POND ROAD","ROCHESTER","MONROE",36055,-77.6954991,43.2673417
"542","RITE AID - 10850","4374 BUFFALO ROAD","NORTH CHILI","MONROE",36055,-77.8062077,43.1203134
"543","CVS - 5076","84 SOUTH AVENUE","HILTON","MONROE",36055,-77.7904406,43.2860441
"544","GENESEE CAMPUS APOTHECARY","89 GENESEE STREET","ROCHESTER","MONROE",36055,-77.6371429,43.1486776
"545","CVS - 547","789 ELMWOOD AVENUE","ROCHESTER","MONROE",36055,-77.6169519,43.1243126
"546","TOPS","2345 BUFFALO ROAD","GATES","MONROE",36055,-77.7117103,43.1460232
"547","RITE AID - 10872","10 WEST MAIN STREET","CUBA","ALLEGANY",36003,-78.2758819,42.2169546
"548","RITE AID - 10885","110 BOLIVAR ROAD","WELLSVILLE","ALLEGANY",36003,-77.9631254,42.1280146
"549","FREWSBURG PHARMACY","26 WEST MAIN STREET","FREWSBURG","CHAUTAUQUA",36013,-79.1609449,42.0529205
"550","GEROULD'S PROFESSIONAL PHARMACY","2887 WESTINGHOUSE ROAD","HORSEHEADS","CHEMUNG",36015,-76.8384658,42.176502
"551","RITE AID - 260","1000 PENNSYLVANIA AVENUE","ELMIRA","CHEMUNG",36015,-76.8115474,42.0605577
"552","RITE AID - 10881","2898 WESTINGHOUSE ROAD","HORSEHEADS","CHEMUNG",36015,-76.8359011,42.176209
"553","RITE AID - 10886","119 WEST 2ND STREET","ELMIRA","CHEMUNG",36015,-76.8083153,42.0912206
"554","WEIS MARKETS","401 NORTH MAIN STREET","ELMIRA","CHEMUNG",36015,-76.8103,42.0920917
"555","TOPS","299 SOUTH MAIN STREET","ELMIRA","CHEMUNG",36015,-76.8035251,42.0822915
"556","CATTARAUGUS INDIAN RESERVATION HEALTH CENTER","1510 STATE ROUTE 438","IRVING","ERIE",36029,-78.9953475,42.5381703
"557","ALFRED PHARMACY","36 NORTH MAIN STREET","ALFRED","ALLEGANY",36003,-77.7900024,42.2550102
"558","PARK PHARMACY","445 BROAD STREET","SALAMANCA","CATTARAUGUS",36009,-78.7320328,42.1572894
"559","ELLICOTTVILLE PHARMACY","6133 ROUTE 219 SOUTH","ELLICOTTVILLE","CATTARAUGUS",36009,-78.6659143,42.2658936
"560","CVS - 5072","20 VILLAGE PLAZA","DANSVILLE","LIVINGSTON",36051,-77.7101866,42.5651018
"561","CATSKILL PHARMACY","6401 UNITED STATES HIGHWAY 209","KERHONKSON","ULSTER",36111,-74.3038016,41.7741126
"562","RITE AID - 10715","381 BROADWAY","MONTICELLO","SULLIVAN",36105,-74.6826744,41.6533613
"563","CVS - 502","625 WEST CLINTON STREET","ITHACA","TOMPKINS",36109,-76.5070971,42.436367
"564","RITE AID - 1249","50 NORTH MAIN STREET","ELLENVILLE","ULSTER",36111,-74.3923489,41.7204621
"565","SHOPRITE","46 THOMPSON SQUARE","MONTICELLO","SULLIVAN",36105,-74.6708112,41.6669708
"566","TARGET","40 CATHERWOOD ROAD","ITHACA","TOMPKINS",36109,-76.4911685,42.4853062
"567","WAL-MART SUPERCENTER - 2547","41 ANAWANA LAKE ROAD","MONTICELLO","SULLIVAN",36105,-74.6798674,41.6668959
"568","WAL-MART SUPERCENTER - 2120","5396 STATE HIGHWAY 12","NORWICH","CHENANGO",36017,-75.5270187,42.4969422
"569","THE MEDICINE SHOPPE PHARMACY","1188 VESTAL AVENUE","BINGHAMTON","BROOME",36007,-75.913708,42.0890309
"570","CVS - 1128","72 BROOKSIDE AVENUE","CHESTER","ORANGE",36071,-74.2819388,41.3562878
"571","CVS - 3154","59 MAIN STREET","WARWICK","ORANGE",36071,-74.3596746,41.2584292
"572","THE MEDICINE SHOPPE PHARMACY","15 JERSEY AVENUE","PORT JERVIS","ORANGE",36071,-74.6916255,41.3722557
"573","TARGET","1 NORTH GALLERIA DRIVE","MIDDLETOWN","ORANGE",36071,-74.3686125,41.4516024
"574","PRICE CHOPPER - 114","511 SCHUTT ROAD EXTENSION","MIDDLETOWN","ORANGE",36071,-74.3830301,41.4503416
"575","UNITED HEALTH SERVICES PROFESSIONAL HOME CARE","4401 VESTAL PARKWAY EAST","VESTAL","BROOME",36007,-75.9691137,42.0963629
"576","RITE AID - 2749","119 WEST MAIN STREET","HANCOCK","DELAWARE",36025,-75.2847794,41.9546921
"577","RITE AID - 10799","3701 VESTAL PARKWAY EAST","VESTAL","BROOME",36007,-75.9827947,42.0984509
"578","RITE AID - 10882","2309 NORTH TRIPHAMMER ROAD","ITHACA","TOMPKINS",36109,-76.4821878,42.4833245
"579","SULLIVAN PHARMACY","267 NORTH MAIN STREET","LIBERTY","SULLIVAN",36105,-74.7473368,41.8042443
"580","PHOENICIA PHARMACY","41 MAIN STREET","PHOENICIA","ULSTER",36111,-74.3151169,42.0832579
"581","RITE AID - 4716","615 SOUTH MEADOW STREET","ITHACA","TOMPKINS",36109,-76.5074567,42.4333594
"582","GUSAR'S PHARMACY","458 BROADWAY","MONTICELLO","SULLIVAN",36105,-74.6881164,41.6556284
"583","BROWNS PRESCRIPTION PHARMACY","115 FRONT STREET","DEPOSIT","BROOME",36007,-75.4271136,42.0605877
"584","GREATER BINGHAMTON HEALTH CENTER","425 ROBINSON STREET","BINGHAMTON","BROOME",36007,-75.8683653,42.1060075
"585","CVS - 5059","98 CLOWES AVENUE","GOSHEN","ORANGE",36071,-74.3340765,41.3969747
"586","RITE AID - 2428","89 BROOKSIDE AVENUE","CHESTER","ORANGE",36071,-74.2852859,41.3574661
"587","SHOPRITE","78 BROOKSIDE AVENUE","CHESTER","ORANGE",36071,-74.2828869,41.3580613
"588","CVS - 2361","245 EAST MAIN STREET","MIDDLETOWN","ORANGE",36071,-74.4086667,41.4466665
"589","RITE AID - 7873","5 LAKE STREET","STAMFORD","DELAWARE",36025,-74.6253479,42.4112882
"590","RITE AID - 10793","21 NORTH MAIN STREET","NEWARK VALLEY","TIOGA",36107,-76.1825934,42.2250769
"591","JEFFERSON PHARMACY","4892 STATE ROUTE 52","JEFFERSONVILLE","SULLIVAN",36105,-74.9356563,41.7797218
"592","WURTSBORO PHARMACY","2930 ROUTE 209","WURTSBORO","SULLIVAN",36105,-74.4976078,41.5656219
"593","ACCUCARE PHARMACY","67 COUNTY HIGHWAY 108","MIDDLETOWN","ORANGE",36071,-74.4337216,41.424394
"594","THE PHARMACY","711 MAIN STREET","JOHNSON CITY","BROOME",36007,-75.9765302,42.1165218
"595","ENGLISH PHARMACY","112 MAIN STREET","WINDSOR","BROOME",36007,-75.6397121,42.0771072
"596","CVS - 3098","123 WINDERMERE AVENUE","GREENWOOD LAKE","ORANGE",36071,-74.2921523,41.2262213
"597","RITE AID - 10555","153 STATE ROUTE 94","WARWICK","ORANGE",36071,-74.3807427,41.236588
"598","RITE AID - 156","1 FITZGERALD DRIVE","MIDDLETOWN","ORANGE",36071,-74.3959561,41.455882
"599","RITE AID - 10551","701 ROUTE 211 EAST","MIDDLETOWN","ORANGE",36071,-74.3605648,41.4662037
"600","RITE AID - 1193","1 MAIN STREET","DELHI","DELAWARE",36025,-74.9221851,42.2664477
"601","RITE AID - 10797","153 MAIN STREET","OWEGO","TIOGA",36107,-76.264032,42.1031259
"602","CLINTWOOD PHARMACY","4700 VESTAL PARKWAY EAST","VESTAL","BROOME",36007,-75.9512233,42.0915562
"603","ROCK HILL HEALTHMART PHARMACY","253 ROCK HILL DRIVE","ROCK HILL","SULLIVAN",36105,-74.5936799,41.6245973
"604","THE MEDICAP PHARMACY","43A MAIN STREET","LIVINGSTON MANOR","SULLIVAN",36105,-74.8273698,41.9008174
"605","PINE BUSH PHARMACY","2412 STATE ROUTE 52","PINE BUSH","ORANGE",36071,-74.2944136,41.6059637
"606","MATTHEWS PHARMACY","101 CANAL STREET","ELLENVILLE","ULSTER",36111,-74.3940918,41.7168714
"607","K AND K PHARMACY","187 MILL STREET","LIBERTY","SULLIVAN",36105,-74.7348468,41.79423
"608","CVS - 1951","1103 NORTH STREET","ENDICOTT","BROOME",36007,-76.0502807,42.1047384
"609","WALGREENS - 11207","37 PENNSYLVANIA AVENUE","BINGHAMTON","BROOME",36007,-75.9160277,42.0878596
"610","RITE AID - 742","100 PIKE STREET","PORT JERVIS","ORANGE",36071,-74.6930834,41.3764948
"611","RITE AID - 10802","1250 UPPER FRONT STREET","BINGHAMTON","BROOME",36007,-75.8936951,42.1558985
"612","KMART","33 WEST STATE STREET","BINGHAMTON","BROOME",36007,-75.9062179,42.1114472
"613","RITE AID - 10791","100 EAST MAIN STREET","ENDICOTT","BROOME",36007,-76.0644051,42.094672
"614","SAM'S CLUB - 6366","2441 VESTAL PARKWAY EAST","VESTAL","BROOME",36007,-76.0075161,42.0985458
"615","PRICE CHOPPER - 108","10 GLENWOOD AVENUE","BINGHAMTON","BROOME",36007,-75.9344608,42.1072725
"616","AKIN'S PHARMACY","33 MAIN STREET","WARWICK","ORANGE",36071,-74.3597488,41.2571518
"617","THE MEDICINE SHOPPE PHARMACY","1987 STATE ROUTE 52","LIBERTY","SULLIVAN",36105,-74.7250973,41.7843237
"618","ALITON'S PHARMACY HOME HEALTHCARE CENTERS","12 SUSSEX STREET","PORT JERVIS","ORANGE",36071,-74.6927494,41.3745002
"619","BARTLES PHARMACY","10 LAFAYETTE PARK","OXFORD","CHENANGO",36017,-75.5977093,42.4427115
"620","ACCUCARE PHARMACY","167 DOLSON AVENUE","MIDDLETOWN","ORANGE",36071,-74.4261619,41.427407
"621","FLORIDA PHARMACY","162 NORTH MAIN STREET","FLORIDA","ORANGE",36071,-74.3591483,41.3380995
"622","UNITED HEALTH SERVICE","10-42 MITCHELL AVENUE","BINGHAMTON","BROOME",36007,-75.9146156,42.0863692
"623","CVS - 168","800 HOOPER ROAD","ENDWELL","BROOME",36007,-76.0288639,42.1286663
"624","PRESTIGE PHARMACY","36 JAMES STREET","MIDDLETOWN","ORANGE",36071,-74.4212357,41.446444
"625","LOURDES HOSPITAL","169 RIVERSIDE DRIVE","BINGHAMTON","BROOME",36007,-75.9360225,42.0919191
"626","WAL-MART SUPERCENTER - 1835","2405 VESTAL PARKWAY EAST","VESTAL","BROOME",36007,-76.0131968,42.0954286
"627","MIDDLETOWN PHARMACY","149 WICKHAM AVENUE","MIDDLETOWN","ORANGE",36071,-74.4120271,41.4517237
"628","CVS - 566","34 WEST STATE STREET","BINGHAMTON","BROOME",36007,-75.904211,42.1094461
"629","CVS - 562","345 MAIN STREET","JOHNSON CITY","BROOME",36007,-75.9612,42.1163106
"630","WEIS MARKETS","100 RANO BOULEVARD","VESTAL","BROOME",36007,-76.0049635,42.0937067
"631","CORNER DRUG STORE AND GIFT SHOP HEALTH MART PHARMACY","101 WEST MAIN STREET","ENDICOTT","BROOME",36007,-76.0655589,42.0953164
"632","RITE AID - 652","400 CHESTNUT STREET","ONEONTA","OTSEGO",36077,-75.0922429,42.454933
"633","RITE AID - 10790","511 HOOPER ROAD","ENDWELL","BROOME",36007,-76.0186754,42.117092
"634","RITE AID - 10803","201 CONKLIN AVENUE","BINGHAMTON","BROOME",36007,-75.8984713,42.0947849
"635","CVS - 781","1276 UPPER FRONT STREET","BINGHAMTON","BROOME",36007,-75.8947781,42.1585927
"636","REDI PHARMACY","44 RONALD REAGAN BOULEVARD","WARWICK","ORANGE",36071,-74.3316935,41.2709739
"637","KMART","527 ENDICOTT PLAZA","ENDICOTT","BROOME",36007,-76.0562156,42.0983364
"638","WALGREENS - 10291","335 MAIN STREET","JOHNSON CITY","BROOME",36007,-75.9598213,42.1163449
"639","TARGET","3112 VESTAL PARKWAY EAST","VESTAL","BROOME",36007,-76.0015635,42.0937236
"640","HANNAFORD","705 STATE HIGHWAY 28","ONEONTA","OTSEGO",36077,-75.0572558,42.4465379
"641","RITE AID - 10740","11 EAST MAIN STREET","DRYDEN","TOMPKINS",36109,-76.2965696,42.4909258
"642","RITE AID - 704","330 PINE TREE ROAD","ITHACA","TOMPKINS",36109,-76.4659151,42.4378924
"643","RITE AID - 257","1934 STATE ROUTE 52","LIBERTY","SULLIVAN",36105,-74.7194734,41.7847126
"644","WAL-MART SUPERCENTER - 1959","470 ROUTE 211 EAST","MIDDLETOWN","ORANGE",36071,-74.3782444,41.4552651
"645","THE FAMILY DRUG STORE","524 BROADWAY","MONTICELLO","SULLIVAN",36105,-74.6925159,41.6566914
"646","UNITED HEALTH SERVICES PHARMACY - CIRCLE","601 RIVERSIDE DRIVE","JOHNSON CITY","BROOME",36007,-75.9656868,42.1080587
"647","CVS - 5013","2 BRIDGE STREET","MARGARETVILLE","DELAWARE",36025,-74.646948,42.1484803
"648","KINNEY DRUGS INC","307 COLLEGE AVE","ITHACA","TOMPKINS",36109,-76.4848092,42.440648
"649","K MART CORP","171 DELAWARE AVE","SIDNEY","DELAWARE",36025,-75.4109097,42.2987818
"650","ALBANY MEDICAL CENTER","43 NEW SCOTLAND AVENUE","ALBANY","ALBANY",36001,-73.7765935,42.65359
"651","RITE AID - 10696","1409 ALTAMONT AVENUE","SCHENECTADY","SCHENECTADY",36093,-73.9453822,42.7856892
"652","CAPITAL DISTRICT PSYCHIATRIC CENTER","75 NEW SCOTLAND AVENUE","ALBANY","ALBANY",36001,-73.7804216,42.6544888
"653","CVS - 2340","2037 STATE STREET","SCHENECTADY","SCHENECTADY",36093,-73.8966597,42.7745726
"654","RITE AID - 456","1203 EASTERN AVENUE","SCHENECTADY","SCHENECTADY",36093,-73.9143017,42.8077183
"655","CVS - 5028","1330 GERLING STREET","SCHENECTADY","SCHENECTADY",36093,-73.9111758,42.8230089
"656","CVS - 451","415 STATE STREET","SCHENECTADY","SCHENECTADY",36093,-73.9417518,42.8131639
"657","RITE AID - 1939","1108 STATE STREET","SCHENECTADY","SCHENECTADY",36093,-73.9274982,42.8003642
"658","CVS - 4610","3075 BROADWAY","ROTTERDAM","SCHENECTADY",36093,-73.9801184,42.7909394
"659","RITE AID - 1990","957 CURRY ROAD","ROTTERDAM","SCHENECTADY",36093,-73.9713152,42.7874109
"660","CVS - 5385","241 MOHAWK AVENUE","SCOTIA","SCHENECTADY",36093,-73.9671304,42.8271284
"661","TARGET","428 BALLTOWN ROAD","SCHENECTADY","SCHENECTADY",36093,-73.8894194,42.7752518
"662","ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES","106 NEW SCOTLAND AVENUE","ALBANY","ALBANY",36001,-73.7785701,42.6521026
"663","WAL-MART SUPERCENTER - 2874","200 DUTCH MEADOWS LANE","GLENVILLE","SCHENECTADY",36093,-73.9442055,42.8416951
"664","CVS - 5035","1204 EASTERN AVENUE","SCHENECTADY","SCHENECTADY",36093,-73.9147159,42.8072685
"665","KMART","93 WEST CAMPBELL ROAD","SCHENECTADY","SCHENECTADY",36093,-73.990458,42.8082864
"666","ALBANY VETERANS AFFAIRS MEDICAL CENTER","113 HOLLAND AVENUE","ALBANY","ALBANY",36001,-73.7720863,42.6508489
"667","CVS - 625","249 MAIN STREET","BINGHAMTON","BROOME",36007,-75.9379182,42.1070191
"668","CVS - 561","34 COURT STREET","BINGHAMTON","BROOME",36007,-75.9141403,42.0985699
"669","CVS - 458","50 PENNSYLVANIA AVENUE","BINGHAMTON","BROOME",36007,-75.9167798,42.0863215
"670","CLINTWOOD PHARMACY","343 CLINTON STREET","BINGHAMTON","BROOME",36007,-75.9381229,42.1106968
"671","SHOPRITE","20 LLOYDS LANE","MIDDLETOWN","ORANGE",36071,-74.3966324,41.4534395
"672","RITE AID - 10878","375 PULTENEY STREET","CORNING","STEUBEN",36101,-77.0779443,42.1543928
"673","CVS - 565","138 VESTAL PARKWAY WEST","VESTAL","BROOME",36007,-76.0552723,42.0865159
"674","RITE AID - 10879","12 PARK DRIVE","HORNELL","STEUBEN",36101,-77.6603495,42.3213811
"675","PRICE CHOPPER - 130","911 NORTH STREET","ENDICOTT","BROOME",36007,-76.0524021,42.1045223
"676","TOPS","309 WEST MORRIS STREET","BATH","STEUBEN",36101,-77.3301009,42.3359102
"677","CVS - 678","1010 UNION CENTER HIGHWAY","ENDICOTT","BROOME",36007,-76.0705204,42.1102242
"678","BEAVERS PHARMACY","7 MAIN STREET","CANISTEO","STEUBEN",36101,-77.6052823,42.2702937
"679","WALGREENS - 10696","80 DENISON PARKWAY EAST","CORNING","STEUBEN",36101,-77.0514285,42.1418251
"680","WAL-MART SUPERCENTER - 2262","5054 STATE HIGHWAY 23","ONEONTA","OTSEGO",36077,-75.0390957,42.4474723
"681","WATER STREET PHARMACY","14 WATER STREET","DUNDEE","YATES",36123,-76.9772213,42.5239921
"682","GEROULD'S HEALTHCARE CENTER","98 WEST PULTENEY STREET","CORNING","STEUBEN",36101,-77.064656,42.1510478
"683","WEGMANS","24 SOUTH BRIDGE STREET","CORNING","STEUBEN",36101,-77.0633874,42.1458367
"684","ADDISON'S APOTHECARY","36 MAIN STREET","ADDISON","STEUBEN",36101,-77.2343296,42.106143
"685","CVS - 5016","506 SOUTH FRANKLIN STREET","WATKINS GLEN","SCHUYLER",36097,-76.8664917,42.3696597
"686","TOPS - 238","658 WEST MAIN STREET","ARCADE","WYOMING",36121,-78.4467239,42.5311829
"687","RITE AID - 10880","2144 GRAND CENTRAL AVENUE","HORSEHEADS","CHEMUNG",36015,-76.8206941,42.1554449
"688","CHEMUNG COUNTY NURSING FACILITY","103 WASHINGTON STREET","ELMIRA","CHEMUNG",36015,-76.7956784,42.0898951
"689","ELMIRA PSYCHIATRIC CENTER","100 WASHINGTON STREET","ELMIRA","CHEMUNG",36015,-76.794949,42.0914446
"690","HENDERSON'S DRUG STORE","100 NORTH MAIN STREET","ELMIRA","CHEMUNG",36015,-76.8070704,42.0878899
"691","HENDERSON'S PARK PHARMACY","27 SHETHAR STREET","HAMMONDSPORT","STEUBEN",36101,-77.2220015,42.4093275
"692","RITE AID - 10794","82 NORTH BROAD STREET","NORWICH","CHENANGO",36017,-75.5231636,42.5339414
"693","DUNNS DRUG STORE","323 MAIN STREET","BOLIVAR","ALLEGANY",36003,-78.1680444,42.0665253
"694","RITE AID - 10800","2642 MAIN STREET","WHITNEY POINT","BROOME",36007,-75.9669646,42.3292313
"695","MAPLE CITY PHARMACY","181 SENECA STREET","HORNELL","STEUBEN",36101,-77.6602151,42.3359956
"696","TOPS","184 SOUTH CASCADE DRIVE","SPRINGVILLE","ERIE",36029,-78.6876766,42.5043187
"697","WAL-MART SUPERCENTER - 2164","317 SOUTH CASCADE DRIVE","SPRINGVILLE","ERIE",36029,-78.6931882,42.5009426
"698","RITE AID - 1649","81 WEST MAIN STREET","GOWANDA","CATTARAUGUS",36009,-78.9382525,42.4629389
"699","RITE AID - 10875","265 NORTH UNION STREET","OLEAN","CATTARAUGUS",36009,-78.43031,42.0810118
"700","WALGREENS - 11984","3242 ROUTE 39","YORKSHIRE","CATTARAUGUS",36009,-78.4780089,42.5306897
"701","KMART","121 BOLIVAR ROAD","WELLSVILLE","ALLEGANY",36003,-77.9625679,42.1261301
"702","RITE AID - 10823","12208 NY STATE ROUTE 16","YORKSHIRE","CATTARAUGUS",36009,-78.4780079,42.529345
