"","NAME","ADDRESS","CITY","TYPE","POPULATION","COUNTY","COUNTYFIPS","X","Y","OWNER","BEDS","HELIPAD","heli.dummy"
"122","ST. VINCENT'S HOSPITAL WESTCHESTER","275 NORTH ST","HARRISON","PSYCHIATRIC",138,"WESTCHESTER",36119,-73.70935222,40.9891184,"NON-PROFIT",138,"NOT AVAILABLE",0
"123","OLEAN GENERAL HOSPITAL","515 MAIN ST","OLEAN","GENERAL ACUTE CARE",186,"CATTARAUGUS",36009,-78.42783855,42.08993262,"NON-PROFIT",186,"Y",1
"124","ST JOSEPH'S HOSPITAL HEALTH CENTER","301 PROSPECT AVE","SYRACUSE","GENERAL ACUTE CARE",431,"ONONDAGA",36067,-76.15006167,43.05593308,"NON-PROFIT",431,"NOT AVAILABLE",0
"125","ST. PETER'S HOSPITAL","315 S MANNING BLVD","ALBANY","GENERAL ACUTE CARE",442,"ALBANY",36001,-73.80365597,42.65596772,"NON-PROFIT",442,"NOT AVAILABLE",0
"126","CUBA MEMORIAL HOSPITAL","140 W MAIN ST","CUBA","CRITICAL ACCESS",6,"ALLEGANY",36003,-78.28786338,42.21292247,"NON-PROFIT",6,"NOT AVAILABLE",0
"127","NEW YORK COMMUNITY HOSPITAL","2525 KINGS HIGHWAY","BROOKLYN","GENERAL ACUTE CARE",134,"KINGS",36047,-73.94871078,40.61377099,"NON-PROFIT",134,"NOT AVAILABLE",0
"128","STATEN ISLAND UNIVERSITY HOSPITAL - SOUTH","375 SEGUINE AVENUE","STATEN ISLAND","GENERAL ACUTE CARE",206,"RICHMOND",36085,-74.19646609,40.51656928,"NON-PROFIT",206,"NOT AVAILABLE",0
"129","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","1275 YORK AVENUE","NEW YORK","SPECIAL",514,"NEW YORK",36061,-73.95659552,40.76427432,"NON-PROFIT",514,"NOT AVAILABLE",0
"130","CATSKILL REGIONAL MEDICAL CENTER","68 HARRIS-BUSHVILLE RD","HARRIS","GENERAL ACUTE CARE",154,"SULLIVAN",36105,-74.7375244,41.70906079,"NON-PROFIT",154,"NOT AVAILABLE",0
"131","ST. MARY'S HEALTHCARE","427 GUY PARK AVE","AMSTERDAM","GENERAL ACUTE CARE",120,"MONTGOMERY",36057,-74.216064,42.95441745,"NON-PROFIT",120,"Y",1
"132","LINCOLN HOSPITAL","234 E 149TH ST","BRONX","GENERAL ACUTE CARE",362,"BRONX",36005,-73.92437665,40.81717305,"GOVERNMENT - LOCAL",362,"NOT AVAILABLE",0
"133","JONES MEMORIAL HOSPITAL","191 N MAIN ST","WELLSVILLE","GENERAL ACUTE CARE",70,"ALLEGANY",36003,-77.9509013,42.12242108,"NON-PROFIT",70,"NOT AVAILABLE",0
"134","UHS BINGHAMTON GENERAL HOSPITAL","10 42 MITCHELL AVENUE","BINGHAMTON","GENERAL ACUTE CARE",220,"BROOME",36007,-75.9144438,42.08631555,"NON-PROFIT",220,"NOT AVAILABLE",0
"135","OUR LADY OF LOURDES MEMORIAL HOSPITAL","169 RIVERSIDE DR","BINGHAMTON","GENERAL ACUTE CARE",242,"BROOME",36007,-75.93693498,42.09138643,"NON-PROFIT",242,"NOT AVAILABLE",0
"136","UHS WILSON MEMORIAL HOSPITAL","33 57 HARRISON STREET","JOHNSON CITY","GENERAL ACUTE CARE",280,"BROOME",36007,-75.95852351,42.11419939,"NON-PROFIT",280,"Y",1
"137","AUBURN COMMUNITY HOSPITAL","17 LANSING ST","AUBURN","GENERAL ACUTE CARE",99,"CAYUGA",36011,-76.56436825,42.94135309,"NON-PROFIT",99,"Y",1
"138","BROOKS MEMORIAL HOSPITAL","529 CENTRAL AVE","DUNKIRK","GENERAL ACUTE CARE",65,"CHAUTAUQUA",36013,-79.3345946,42.47994514,"NON-PROFIT",65,"NOT AVAILABLE",0
"139","WCA HOSPITAL","207 FOOTE AVE","JAMESTOWN","GENERAL ACUTE CARE",245,"CHAUTAUQUA",36013,-79.23212031,42.09127224,"NON-PROFIT",245,"Y",1
"140","WESTFIELD MEMORIAL HOSPITAL","189 E MAIN ST","WESTFIELD","GENERAL ACUTE CARE",4,"CHAUTAUQUA",36013,-79.56980877,42.32869813,"NON-PROFIT",4,"Y",1
"141","ARNOT OGDEN MEDICAL CENTER","600 ROE AVE","ELMIRA","GENERAL ACUTE CARE",266,"CHEMUNG",36015,-76.82775987,42.10014942,"NON-PROFIT",266,"Y",1
"142","CHENANGO MEMORIAL HOSPITAL","179 N BROAD ST","NORWICH","GENERAL ACUTE CARE",58,"CHENANGO",36017,-75.52579862,42.54115932,"NON-PROFIT",58,"NOT AVAILABLE",0
"143","COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVE","HUDSON","GENERAL ACUTE CARE",192,"COLUMBIA",36021,-73.77745253,42.24634477,"NON-PROFIT",192,"NOT AVAILABLE",0
"144","CORTLAND REGIONAL MEDICAL CENTER","134 HOMER AVE","CORTLAND","GENERAL ACUTE CARE",162,"CORTLAND",36023,-76.1873217,42.60883147,"NON-PROFIT",162,"NOT AVAILABLE",0
"145","O'CONNOR HOSPITAL","460 ANDES RD","DELHI","CRITICAL ACCESS",23,"DELAWARE",36025,-74.916391,42.26835143,"NON-PROFIT",23,"Y",1
"146","DELAWARE VALLEY HOSPITAL","1 TITUS PL","WALTON","CRITICAL ACCESS",25,"DELAWARE",36025,-75.12871763,42.16427479,"NON-PROFIT",25,"Y",1
"147","ALBANY MEDICAL CENTER","43 NEW SCOTLAND AVE","ALBANY","GENERAL ACUTE CARE",716,"ALBANY",36001,-73.77665746,42.65340806,"NON-PROFIT",716,"Y",1
"148","BUFFALO GENERAL MEDICAL CENTER","100 HIGH ST","BUFFALO","GENERAL ACUTE CARE",501,"ERIE",36029,-78.86620976,42.90086841,"NON-PROFIT",501,"Y",1
"149","ALBANY MEDICAL CENTER - SOUTH CLINICAL CAMPUS","25 HACKETT BOULEVARD","ALBANY","GENERAL ACUTE CARE",18,"ALBANY",36001,-73.78011464,42.64581067,"NON-PROFIT",18,"Y",1
"150","MERCY HOSPITAL","565 ABBOTT RD","BUFFALO","GENERAL ACUTE CARE",438,"ERIE",36029,-78.81197103,42.84750143,"NON-PROFIT",438,"Y",1
"151","SISTERS OF CHARITY HOSPITAL","2157 MAIN ST","BUFFALO","GENERAL ACUTE CARE",290,"ERIE",36029,-78.84845864,42.92843689,"NON-PROFIT",290,"NOT AVAILABLE",0
"152","MARGARETVILLE MEMORIAL HOSPITAL","42084 STATE HIGHWAY 28","MARGARETVILLE","CRITICAL ACCESS",15,"DELAWARE",36025,-74.64206927,42.14665356,"NON-PROFIT",15,"NOT AVAILABLE",0
"153","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVE","BUFFALO","GENERAL ACUTE CARE",184,"ERIE",36029,-78.88011777,42.97759545,"NON-PROFIT",184,"NOT AVAILABLE",0
"154","VASSAR BROTHERS MEDICAL CENTER","45 READE PL","POUGHKEEPSIE","GENERAL ACUTE CARE",365,"DUTCHESS",36027,-73.93578611,41.69385894,"NON-PROFIT",365,"Y",1
"155","BERTRAND CHAFFEE HOSPITAL","224 E MAIN ST","SPRINGVILLE","GENERAL ACUTE CARE",24,"ERIE",36029,-78.6585669,42.50896399,"NON-PROFIT",24,"Y",1
"156","ERIE COUNTY MEDICAL CENTER","462 GRIDER ST","BUFFALO","GENERAL ACUTE CARE",550,"ERIE",36029,-78.83114577,42.9250771,"GOVERNMENT - DISTRICT/AUTHORITY",550,"Y",1
"157","SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS","2605 HARLEM RD","CHEEKTOWAGA","GENERAL ACUTE CARE",123,"ERIE",36029,-78.78240154,42.91430436,"NON-PROFIT",123,"NOT AVAILABLE",0
"158","ROSWELL PARK CANCER INSTITUTE","666 ELM STR","BUFFALO","GENERAL ACUTE CARE",123,"ERIE",36029,-78.86488695,42.8992051,"GOVERNMENT - DISTRICT/AUTHORITY",123,"Y",1
"159","ELIZABETHTOWN COMMUNITY HOSPITAL","75 PARK ST","ELIZABETHTOWN","CRITICAL ACCESS",25,"ESSEX",36031,-73.59552465,44.215377,"NON-PROFIT",25,"NOT AVAILABLE",0
"160","STONY BROOK UNIVERSITY MEDICAL CENTER","101 NICOLLS RD","STONY BROOK","GENERAL ACUTE CARE",603,"SUFFOLK",36103,-73.11567822,40.90919446,"GOVERNMENT - STATE",603,"Y",1
"161","MOSES LUDINGTON HOSPITAL","1019 WICKER ST","TICONDEROGA","CRITICAL ACCESS",15,"ESSEX",36031,-73.43702399,43.84952513,"NON-PROFIT",15,"Y",1
"162","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","SARANAC LAKE","GENERAL ACUTE CARE",97,"FRANKLIN",36033,-74.14313676,44.34504104,"NON-PROFIT",97,"Y",1
"163","NATHAN LITTAUER HOSPITAL","99 E STATE ST","GLOVERSVILLE","GENERAL ACUTE CARE",74,"FULTON",36035,-74.33192173,43.07158611,"NON-PROFIT",74,"NOT AVAILABLE",0
"164","ALICE HYDE MEDICAL CENTER","115 PARK STREET","MALONE","GENERAL ACUTE CARE",76,"FRANKLIN",36033,-74.29129248,44.85673515,"NON-PROFIT",76,"NOT AVAILABLE",0
"165","UNITED MEMORIAL MEDICAL CENTER BANK STREET CAMPUS","16 BANK ST","BATAVIA","GENERAL ACUTE CARE",20,"GENESEE",36037,-78.18111288,42.99865008,"NON-PROFIT",20,"NOT AVAILABLE",0
"166","SAMARITAN MEDICAL CENTER","830 WASHINGTON ST","WATERTOWN","GENERAL ACUTE CARE",294,"JEFFERSON",36045,-75.9145579,43.96504348,"NON-PROFIT",294,"Y",1
"167","LITTLE FALLS HOSPITAL","140 BURWELL ST","LITTLE FALLS","CRITICAL ACCESS",25,"HERKIMER",36043,-74.84749316,43.04424004,"NON-PROFIT",25,"NOT AVAILABLE",0
"168","RIVER HOSPITAL","4 FULLER ST","ALEXANDRIA BAY","CRITICAL ACCESS",15,"JEFFERSON",36045,-75.92050805,44.33770877,"NON-PROFIT",15,"NOT AVAILABLE",0
"169","LEWIS COUNTY GENERAL HOSPITAL","7785 N STATE ST","LOWVILLE","CRITICAL ACCESS",31,"LEWIS",36049,-75.49911806,43.79579021,"GOVERNMENT - LOCAL",31,"NOT AVAILABLE",0
"170","COMMUNITY MEMORIAL HOSPITAL","150 BROAD ST","HAMILTON","CRITICAL ACCESS",25,"MADISON",36053,-75.54340496,42.81343509,"NON-PROFIT",25,"NOT AVAILABLE",0
"171","HIGHLAND HOSPITAL","1000 SOUTH AVE","ROCHESTER","GENERAL ACUTE CARE",261,"MONROE",36055,-77.60599645,43.1352912,"GOVERNMENT - DISTRICT/AUTHORITY",261,"NOT AVAILABLE",0
"172","ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVE","ROCHESTER","GENERAL ACUTE CARE",528,"MONROE",36055,-77.58681449,43.19224113,"NON-PROFIT",528,"Y",1
"173","CARTHAGE AREA HOSPITAL","1001 WEST ST","CARTHAGE","CRITICAL ACCESS",35,"JEFFERSON",36045,-75.59409131,43.98725597,"NON-PROFIT",35,"Y",1
"174","STRONG MEMORIAL HOSPITAL","601 ELMWOOD AVE","ROCHESTER","GENERAL ACUTE CARE",830,"MONROE",36055,-77.62425943,43.12280887,"NON-PROFIT",830,"Y",1
"175","MONROE COMMUNITY HOSPITAL","435 E HENRIETTA RD","ROCHESTER","LONG TERM CARE",28,"MONROE",36055,-77.61799167,43.11299768,"GOVERNMENT - LOCAL",39,"NOT AVAILABLE",0
"176","LONG ISLAND JEWISH VALLEY STREAM","900 FRANKLIN AVE","VALLEY STREAM","GENERAL ACUTE CARE",330,"NASSAU",36059,-73.6862992,40.6811275,"NON-PROFIT",330,"NOT AVAILABLE",0
"177","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DR","MANHASSET","GENERAL ACUTE CARE",764,"NASSAU",36059,-73.70161094,40.77763592,"NON-PROFIT",764,"Y",1
"178","NASSAU UNIVERSITY MEDICAL CENTER","2201 HEMPSTEAD TPKE","EAST MEADOW","GENERAL ACUTE CARE",530,"NASSAU",36059,-73.55373802,40.72625551,"GOVERNMENT - DISTRICT/AUTHORITY",530,"Y",1
"179","SYOSSET HOSPITAL","221 JERICHO TPKE","SYOSSET","GENERAL ACUTE CARE",103,"NASSAU",36059,-73.50866605,40.81087429,"NON-PROFIT",103,"NOT AVAILABLE",0
"180","ST. JOSEPH HOSPITAL","4295  HEMPSTEAD TURNPIKE","BETHPAGE","GENERAL ACUTE CARE",203,"NASSAU",36059,-73.47871819,40.72677129,"NON-PROFIT",203,"NOT AVAILABLE",0
"181","MERCY MEDICAL CENTER","1000 N VILLAGE AVE","ROCKVILLE CENTRE","GENERAL ACUTE CARE",375,"NASSAU",36059,-73.63160381,40.68851303,"NON-PROFIT",375,"NOT AVAILABLE",0
"182","PLAINVIEW HOSPITAL","888 OLD COUNTRY RD","PLAINVIEW","GENERAL ACUTE CARE",219,"NASSAU",36059,-73.47853471,40.77495423,"NON-PROFIT",219,"NOT AVAILABLE",0
"183","SOUTH NASSAU COMMUNITIES HOSPITAL","1 HEALTHY WAY","OCEANSIDE","GENERAL ACUTE CARE",455,"NASSAU",36059,-73.63083944,40.650998,"NON-PROFIT",455,"NOT AVAILABLE",0
"184","EASTERN NIAGARA HOSPITAL","521 EAST AVE","LOCKPORT","GENERAL ACUTE CARE",140,"NIAGARA",36063,-78.67114428,43.17737108,"NON-PROFIT",140,"NOT AVAILABLE",0
"185","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 10TH ST","NIAGARA FALLS","GENERAL ACUTE CARE",171,"NIAGARA",36063,-79.04971013,43.09392082,"NON-PROFIT",171,"Y",1
"186","DEGRAFF MEMORIAL HOSPITAL","445 TREMONT ST","NORTH TONAWANDA","GENERAL ACUTE CARE",66,"NIAGARA",36063,-78.86234244,43.02541801,"NON-PROFIT",66,"NOT AVAILABLE",0
"187","SAINT FRANCIS HOSPITAL","100 PORT WASHINGTON BLVD","ROSLYN","GENERAL ACUTE CARE",364,"NASSAU",36059,-73.67058968,40.80475473,"NON-PROFIT",364,"NOT AVAILABLE",0
"188","MOUNT ST. MARY'S HOSPITAL","5300 MILITARY RD","LEWISTON","GENERAL ACUTE CARE",175,"NIAGARA",36063,-79.03243072,43.15418402,"NON-PROFIT",175,"Y",1
"189","ROME MEMORIAL HOSPITAL","1500 N JAMES ST","ROME","GENERAL ACUTE CARE",130,"ONEIDA",36065,-75.44235499,43.22913433,"NON-PROFIT",130,"NOT AVAILABLE",0
"190","ST. ELIZABETH MEDICAL CENTER","2209 GENESEE ST","UTICA","GENERAL ACUTE CARE",201,"ONEIDA",36065,-75.26611203,43.08217143,"NON-PROFIT",201,"Y",1
"191","FAXTON-ST. LUKE'S HEALTHCARE - FAXTON CAMPUS","1676 SUNSET AVE","UTICA","REHABILITATION",24,"ONEIDA",36065,-75.25811713,43.09100972,"NON-PROFIT",24,"NOT AVAILABLE",0
"192","FAXTON-ST. LUKE'S HEALTHCARE - ST. LUKE'S CAMPUS","1656 CHAMPLIN AVE","UTICA","GENERAL ACUTE CARE",370,"ONEIDA",36065,-75.27589377,43.09673342,"NON-PROFIT",370,"Y",1
"193","UPSTATE UNIVERSITY HOSPITAL - COMMUNITY CAMPUS","4900 BROAD RD","SYRACUSE","GENERAL ACUTE CARE",326,"ONONDAGA",36067,-76.16790218,43.00803767,"NON-PROFIT",326,"NOT AVAILABLE",0
"194","UPSTATE UNIVERSITY HOSPITAL - DOWNTOWN CAMPUS","750 E ADAMS ST","SYRACUSE","GENERAL ACUTE CARE",409,"ONONDAGA",36067,-76.13983046,43.04189732,"NON-PROFIT",409,"Y",1
"195","CROUSE HOSPITAL","736 IRVING AVE","SYRACUSE","GENERAL ACUTE CARE",466,"ONONDAGA",36067,-76.13839401,43.04129917,"NON-PROFIT",466,"Y",1
"196","CLIFTON SPRINGS HOSPITAL","2 COULTER RD","CLIFTON SPRINGS","GENERAL ACUTE CARE",154,"ONTARIO",36069,-77.13651575,42.95970084,"NON-PROFIT",154,"Y",1
"197","GENEVA GENERAL HOSPITAL","196-198 NORTH ST","GENEVA","GENERAL ACUTE CARE",132,"ONTARIO",36069,-76.98776837,42.87646048,"NON-PROFIT",132,"NOT AVAILABLE",0
"198","ST. LUKE'S CORNWALL HOSPITAL - NEWBURGH CAMPUS","70 DUBOIS ST","NEWBURGH","GENERAL ACUTE CARE",242,"ORANGE",36071,-74.01456558,41.50342485,"NON-PROFIT",242,"Y",1
"199","ST. LUKE'S CORNWALL HOSPITAL - CORNWALL CAMPUS","19 LAUREL AVE","CORNWALL","GENERAL ACUTE CARE",125,"ORANGE",36071,-74.04232114,41.43525136,"NON-PROFIT",125,"Y",1
"200","FF THOMPSON HOSPITAL","350 PARRISH STREET","CANANDAIGUA","GENERAL ACUTE CARE",113,"ONTARIO",36069,-77.2902443,42.87601496,"NON-PROFIT",113,"Y",1
"201","ST ANTHONY COMMUNITY HOSPITAL","15 MAPLE AVE","WARWICK","GENERAL ACUTE CARE",60,"ORANGE",36071,-74.35746215,41.26136292,"NON-PROFIT",60,"NOT AVAILABLE",0
"202","BON SECOURS COMMUNITY HOSPITAL","160 E MAIN ST","PORT JERVIS","GENERAL ACUTE CARE",122,"ORANGE",36071,-74.68159719,41.3676357,"NON-PROFIT",122,"NOT AVAILABLE",0
"203","ORANGE REGIONAL MEDICAL CENTER","707 EAST MAIN STREET","MIDDLETOWN","GENERAL ACUTE CARE",353,"ORANGE",36071,-74.36831227,41.44191408,"NON-PROFIT",353,"Y",1
"204","OSWEGO HOSPITAL","110 W 6TH ST","OSWEGO","GENERAL ACUTE CARE",126,"OSWEGO",36075,-76.51637765,43.45401657,"NON-PROFIT",126,"NOT AVAILABLE",0
"205","AURELIA OSBORN FOX MEMORIAL HOSPITAL","1 NORTON AVE","ONEONTA","GENERAL ACUTE CARE",60,"OTSEGO",36077,-75.05215348,42.45779332,"NON-PROFIT",60,"NOT AVAILABLE",0
"206","PUTNAM HOSPITAL CENTER","670 STONELEIGH AVE","CARMEL","GENERAL ACUTE CARE",164,"PUTNAM",36079,-73.66297571,41.38262712,"NON-PROFIT",164,"NOT AVAILABLE",0
"207","ST MARY'S HOSPITAL","1300 MASSACHUSETTS AVE","TROY","GENERAL ACUTE CARE",196,"RENSSELAER",36083,-73.67642397,42.74272051,"NON-PROFIT",196,"NOT AVAILABLE",0
"208","SAMARITAN HOSPITAL","2215 BURDETT AVE","TROY","GENERAL ACUTE CARE",212,"RENSSELAER",36083,-73.672164,42.73329249,"NON-PROFIT",212,"NOT AVAILABLE",0
"209","HELEN HAYES HOSPITAL","51 NORTH ROUTE 9W","WEST HARVESTRAW","REHABILITATION",130,"ROCKLAND",36087,-73.98834472,41.21430723,"GOVERNMENT - STATE",130,"NOT AVAILABLE",0
"210","NYACK HOSPITAL","160 N MIDLAND AVE","NYACK","GENERAL ACUTE CARE",375,"ROCKLAND",36087,-73.92601813,41.09621147,"NON-PROFIT",375,"NOT AVAILABLE",0
"211","GOOD SAMARITAN HOSPITAL - SUFFERN","255 LAFAYETTE AVE","SUFFERN","GENERAL ACUTE CARE",286,"ROCKLAND",36087,-74.13481142,41.11159578,"NON-PROFIT",286,"Y",1
"212","CLAXTON-HEPBURN MEDICAL CENTER","214 KING ST","OGDENSBURG","GENERAL ACUTE CARE",130,"ST. LAWRENCE",36089,-75.49988778,44.69159065,"NON-PROFIT",130,"NOT AVAILABLE",0
"213","EDWARD JOHN NOBLE HOSPITAL OF GOUVERNEUR","77 W BARNEY ST","GOUVERNEUR","CRITICAL ACCESS",25,"ST. LAWRENCE",36089,-75.47484873,44.33752535,"NON-PROFIT",25,"NOT AVAILABLE",0
"214","MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DR","MASSENA","GENERAL ACUTE CARE",50,"ST. LAWRENCE",36089,-74.90874009,44.93623403,"GOVERNMENT - LOCAL",50,"Y",1
"215","CANTON-POTSDAM HOSPITAL","50 LEROY ST","POTSDAM","GENERAL ACUTE CARE",94,"ST. LAWRENCE",36089,-74.98211632,44.67651062,"NON-PROFIT",94,"NOT AVAILABLE",0
"216","CLIFTON-FINE HOSPITAL","1014 OSWEGATCHIE TRAIL","STAR LAKE","CRITICAL ACCESS",20,"ST. LAWRENCE",36089,-75.05630402,44.16240704,"NON-PROFIT",20,"NOT AVAILABLE",0
"217","SARATOGA HOSPITAL","211 CHURCH ST","SARATOGA","GENERAL ACUTE CARE",171,"SARATOGA",36091,-73.79678273,43.08588022,"NON-PROFIT",171,"Y",1
"218","SUNNYVIEW REHABILITATION HOSPITAL","1270 BELMONT AVE","SCHENECTADY","REHABILITATION",115,"SCHENECTADY",36093,-73.9163125,42.82017142,"NON-PROFIT",115,"NOT AVAILABLE",0
"219","COBLESKILL REGIONAL HOSPITAL","178 GRANDVIEW DR","COBLESKILL","GENERAL ACUTE CARE",40,"SCHOHARIE",36095,-74.48179866,42.6869295,"NON-PROFIT",40,"NOT AVAILABLE",0
"220","BELLEVUE WOMAN'S CENTER OF ELLIS MEDICINE","2210 TROY SCHENECTADY RD","NISKAYUNA","WOMEN",55,"SCHENECTADY",36093,-73.87895472,42.79276899,"NON-PROFIT",55,"NOT AVAILABLE",0
"221","SCHUYLER HOSPITAL","220 STEUBEN ST","MONTOUR FALLS","CRITICAL ACCESS",25,"SCHUYLER",36097,-76.85997059,42.35245875,"NON-PROFIT",25,"Y",1
"222","ST. JAMES MERCY HEALTH SYSTEM","411 CANISTEO ST","HORNELL","GENERAL ACUTE CARE",15,"STEUBEN",36101,-77.6606131,42.31387327,"NON-PROFIT",15,"Y",1
